TAXA,COMMON_NAME,TREE_TYPE,LAT,LONG,X,Z
malus x domestica,,deciduous,49.259452,-123.248811,2297.701668909979,-282.64178385502953
cornus kousa,japanese dogwood,deciduous,49.260431,-123.250723,2226.495114630521,-444.2872904788936
cornus kousa,japanese dogwood,deciduous,49.260546,-123.250886,2222.081325044865,-461.1581109173859
Prunus serrulata,japanese cherry,deciduous,49.260685,-123.251253,2205.8455345231905,-487.3924544954407
Prunus serrulata,japanese cherry,deciduous,49.260708,-123.251275,2205.64258077052,-490.4022742618687
Prunus serrulata,japanese cherry,deciduous,49.260736,-123.251297,2205.7022156511985,-493.90201358823924
dead,,deciduous,49.267579,-123.253855,2401.0598305904978,-1252.3213638669567
acer glabrum,,deciduous,49.267649,-123.253848,2405.1851255331662,-1258.9395377886476
malus x domestica,,deciduous,49.259377,-123.248618,2306.140690791203,-268.6592696398618
malus x domestica,,deciduous,49.259405,-123.248639,2306.264296744081,-272.1246596161193
sorbus aria,chess-apple,deciduous,49.265589,-123.252401,2389.777525348951,-1007.3620837954869
Acer rubrum,red maple,deciduous,49.263634,-123.243579,2852.834713871023,-512.6158701608099
ginkgo biloba,ginkgo,deciduous,49.262699,-123.252188,2251.6568811648617,-716.8693130587437
Acer palmatum,japanese maple,deciduous,49.263929,-123.244424,2814.1355825551,-570.560121131681
Acer palmatum,japanese maple,deciduous,49.263838,-123.244346,2814.3593463498864,-558.9627384249534
tsuga heterophylla,pacific hemlock,coniferous,49.26354,-123.248512,2531.553761859375,-672.9312831708774
Prunus serrulata,japanese cherry,deciduous,49.26076,-123.251315,2205.808300939221,-496.87232793990324
Prunus serrulata,japanese cherry,deciduous,49.260785,-123.251336,2205.77451631329,-500.04374246535065
Pseudotsuga menziesii,douglas-fir,coniferous,49.259427,-123.248555,2312.8067381135015,-271.3932002461596
thuja plicata,pacific red-cedar,coniferous,49.270427,-123.254635,2500.628957113698,-1558.1820363835204
thuja plicata,pacific red-cedar,coniferous,49.270412,-123.254613,2501.2516714153135,-1555.956206404995
fraxinus angustifolia 'raywood',,deciduous,49.26908,-123.255493,2374.86951626014,-1455.6896917630256
thuja plicata,pacific red-cedar,coniferous,49.270425,-123.254628,2500.9727222062493,-1557.7454945809961
acer glabrum,,deciduous,49.267617,-123.253773,2408.3134266648085,-1253.2263871362225
cornus nuttallii,pacific dogwood,deciduous,49.269449,-123.256815,2309.48897352967,-1537.2822641389148
cornus nuttallii,pacific dogwood,deciduous,49.269464,-123.25677,2313.1620560070696,-1537.205281685503
malus x domestica,,deciduous,49.263887,-123.255659,2091.4733504444202,-952.5796027121802
amelanchier grandiflora,,deciduous,49.265807,-123.254945,2238.100337768419,-1116.1614826376467
thuja plicata,pacific red-cedar,coniferous,49.270542,-123.254821,2494.7435177786383,-1575.8424502090197
cornus kousa,japanese dogwood,deciduous,49.26066,-123.250641,2243.7800930941557,-463.9072290853037
Prunus serrulata,japanese cherry,deciduous,49.260662,-123.251234,2205.856100542908,-484.48575098357435
Acer circinatum,vine maple,deciduous,49.263761,-123.247215,2626.3323797224557,-650.0119492052245
pinus nigra,black pine,coniferous,49.264047,-123.24683,2666.039858516441,-664.8051730582894
platanus x hispanica,london plane,deciduous,49.263951,-123.244127,2834.3369760751466,-562.5097669910574
stewartia pseudocamellia,korean stewartia,deciduous,49.263997,-123.244262,2828.0949884179145,-571.6563856543353
stewartia pseudocamellia,korean stewartia,deciduous,49.26402,-123.244198,2833.406908574238,-571.7108396120602
stewartia pseudocamellia,korean stewartia,deciduous,49.264036,-123.244146,2837.5817265090973,-571.4917421896639
stewartia pseudocamellia,korean stewartia,deciduous,49.264061,-123.244087,2842.6780166339004,-571.9140028346212
stewartia pseudocamellia,korean stewartia,deciduous,49.264076,-123.244037,2846.6720669070523,-571.6656514023248
stewartia pseudocamellia,korean stewartia,deciduous,49.263797,-123.243936,2838.499348717568,-540.8559614538913
stewartia pseudocamellia,korean stewartia,deciduous,49.263815,-123.243883,2842.8433270517153,-540.798484947604
picea omorika,serbian spruce,coniferous,49.265653,-123.254781,2240.5278644538676,-1095.4353518961466
prunus yedonensis 'akebono',,deciduous,49.259266,-123.248561,2303.967212981317,-255.82370462424763
malus x domestica,,deciduous,49.259369,-123.248568,2308.927210900387,-266.1568417120235
Abies grandis,grand fir,coniferous,49.259484,-123.247989,2352.099093449755,-257.52470266541604
Pseudotsuga menziesii,douglas-fir,coniferous,49.259532,-123.248053,2350.5152313497124,-264.427736913192
thuja plicata,pacific red-cedar,coniferous,49.259551,-123.247973,2356.6435945087583,-263.5398576204349
Acer platanoides,norway maple,deciduous,49.259531,-123.247977,2355.3368019317104,-261.7176134170469
Acer platanoides,norway maple,deciduous,49.259538,-123.247983,2355.3195974621262,-262.60973829838167
cornus 'eddie's white wonder',,deciduous,49.259512,-123.248003,2352.6716025006763,-260.74950045343064
Acer circinatum,vine maple,deciduous,49.259501,-123.248058,2348.566658875672,-261.56201633308785
Acer circinatum,vine maple,deciduous,49.259697,-123.247988,2363.348518439114,-278.361401394767
cornus 'eddie's white wonder',,deciduous,49.259487,-123.248035,2349.3065267499123,-259.3996931307274
Abies grandis,grand fir,coniferous,49.259555,-123.247907,2361.0864040108386,-261.6633728901328
Abies grandis,grand fir,coniferous,49.259599,-123.247939,2361.3447318691965,-267.07461315425485
Abies grandis,grand fir,coniferous,49.259625,-123.24796,2361.3632866929493,-270.3440285139393
Abies grandis,grand fir,coniferous,49.259676,-123.248001,2361.4120205882173,-276.75050176938964
Abies grandis,grand fir,coniferous,49.259651,-123.247986,2361.0611804442633,-273.7852940894966
Pseudotsuga menziesii,douglas-fir,coniferous,49.259638,-123.248039,2356.9794852410064,-274.33309098374855
thuja plicata,pacific red-cedar,coniferous,49.259609,-123.248015,2356.9957849358484,-270.666606639178
arbutus menziesii,pacific madrone,deciduous,49.259621,-123.248048,2355.5095682881565,-272.9766572140917
Pseudotsuga menziesii,douglas-fir,coniferous,49.259688,-123.248041,2359.4768791209062,-279.3011415175995
Acer circinatum,vine maple,deciduous,49.259674,-123.24808,2356.2405280835856,-279.2697711934303
Acer circinatum,vine maple,deciduous,49.259715,-123.247993,2363.9730921639302,-280.2970041297974
Pseudotsuga menziesii,douglas-fir,coniferous,49.25974,-123.248016,2363.8108745586787,-283.5371717831564
Acer rubrum,red maple,deciduous,49.261511,-123.247115,2514.5930950363104,-426.10479578452714
Acer rubrum,red maple,deciduous,49.261635,-123.246979,2529.8263164811115,-433.581126481207
Acer rubrum,red maple,deciduous,49.261575,-123.247159,2515.13212450412,-433.8881505693241
Acer rubrum,red maple,deciduous,49.261641,-123.247203,2515.776186450942,-441.8674767835031
Acer rubrum,red maple,deciduous,49.261758,-123.247079,2529.872247699467,-449.07030853420395
Acer rubrum,red maple,deciduous,49.261813,-123.247129,2529.5538988862018,-456.17798182728563
Acer rubrum,red maple,deciduous,49.262047,-123.247328,2529.0798884981155,-485.9461049595832
acer x freemanii 'armstrong',,deciduous,49.262871,-123.248186,2517.327795324877,-596.1746625291606
acer x freemanii 'armstrong',,deciduous,49.263071,-123.248349,2517.377618220742,-621.3738759451743
malus x domestica,,deciduous,49.259288,-123.24868,2297.4907236543395,-262.06953134421985
malus x domestica,,deciduous,49.259344,-123.248765,2294.9802365043997,-270.4782651417746
malus x domestica,,deciduous,49.25936,-123.248734,2297.808572022973,-270.9805362634638
malus x domestica,,deciduous,49.259378,-123.248758,2297.2146441765094,-273.56918213012
malus x domestica,,deciduous,49.259374,-123.248788,2295.0806114946727,-274.2083687113595
cornus kousa,japanese dogwood,deciduous,49.260449,-123.250878,2217.5002290491652,-451.3786625411972
cornus kousa,japanese dogwood,deciduous,49.26046,-123.250842,2220.3866014207097,-451.2190972831662
cornus kousa,japanese dogwood,deciduous,49.260872,-123.251218,2217.9108131587554,-504.51244113612654
cornus kousa,japanese dogwood,deciduous,49.260884,-123.251178,2221.10620039966,-504.31336962219916
cornus kousa,japanese dogwood,deciduous,49.260475,-123.250825,2222.2645668681735,-452.10453800370294
cornus kousa,japanese dogwood,deciduous,49.260382,-123.250766,2221.164193133725,-440.96405098194293
cornus kousa,japanese dogwood,deciduous,49.260433,-123.250788,2222.431680353097,-446.71743473686695
Acer palmatum,japanese maple,deciduous,49.268212,-123.256611,2257.595895459342,-1409.0688614564392
carpinus tchonoskii,,deciduous,49.268254,-123.257515,2201.8399098185464,-1444.2562182620418
